region,site,block,plot,net,water,plantcount_2015,plantcount_2016_inner,plantcount_2016_total,total,blocksite
Center,Tucannon,3,W,no,yes,11,2,9,240,Tucannon3
Center,Tucannon,4,C,no,no,10,1,7,288,Tucannon4
Center,Tucannon,4,P,yes,no,7,5,6,41,Tucannon4
Center,Tucannon,4,PW,yes,yes,15,0,0,233,Tucannon4
Center,Tucannon,4,W,no,yes,7,1,5,313,Tucannon4
Center,Tucannon,5,C,no,no,10,4,14,558,Tucannon5
Center,Tucannon,5,P,yes,no,6,1,3,36,Tucannon5
Center,Tucannon,5,PW,yes,yes,7,0,3,28,Tucannon5
Center,Tucannon,5,W,no,yes,12,3,19,356,Tucannon5
Center,Tucannon,6,C,no,no,11,4,16,561,Tucannon6
Center,Tucannon,6,P,yes,no,14,3,13,140,Tucannon6
Center,Tucannon,6,PW,yes,yes,10,5,14,206,Tucannon6
Center,Tucannon,6,W,no,yes,10,5,17,448,Tucannon6
North,Blue Lake,2,PW,yes,yes,5,3,10,137,Blue Lake2
North,Blue Lake,2,W,no,yes,5,6,9,380,Blue Lake2
North,Blue Lake,3,C,no,no,8,3,21,387,Blue Lake3
North,Blue Lake,3,P,yes,no,2,3,4,233,Blue Lake3
North,Blue Lake,3,PW,yes,yes,10,7,38,893,Blue Lake3
North,Blue Lake,3,W,no,yes,7,2,10,1804,Blue Lake3
North,Blue Lake,4,C,no,no,12,7,31,1713,Blue Lake4
North,Blue Lake,4,P,yes,no,7,27,47,594,Blue Lake4
North,Blue Lake,4,PW,yes,yes,14,5,20,1298,Blue Lake4
North,Blue Lake,4,W,no,yes,12,11,31,704,Blue Lake4
North,Blue Lake,5,C,no,no,11,5,11,1041,Blue Lake5
North,Blue Lake,5,P,yes,no,6,4,18,382,Blue Lake5
North,Blue Lake,5,PW,yes,yes,3,1,4,140,Blue Lake5
North,Blue Lake,5,W,no,yes,5,3,10,347,Blue Lake5
North,Blue Lake,6,C,no,no,6,0,0,2849,Blue Lake6
North,Blue Lake,6,P,yes,no,5,0,0,666,Blue Lake6
North,Blue Lake,6,PW,yes,yes,3,0,0,282,Blue Lake6
North,Blue Lake,6,W,no,yes,5,3,3,744,Blue Lake6
North,Rock Creek,1,C,no,no,5,5,19,897,Rock Creek1
North,Rock Creek,1,P,yes,no,7,1,6,221,Rock Creek1
North,Rock Creek,1,PW,yes,yes,7,1,5,4,Rock Creek1
North,Rock Creek,1,W,no,yes,10,6,18,907,Rock Creek1
North,Rock Creek,2,C,no,no,5,1,12,264,Rock Creek2
North,Rock Creek,2,P,yes,no,3,8,33,30,Rock Creek2
North,Rock Creek,2,PW,yes,yes,7,2,17,252,Rock Creek2
North,Rock Creek,2,W,no,yes,5,5,19,358,Rock Creek2
North,Rock Creek,3,C,no,no,12,11,20,1642,Rock Creek3
North,Rock Creek,3,P,yes,no,11,5,15,423,Rock Creek3
North,Rock Creek,3,PW,yes,yes,29,5,22,420,Rock Creek3
North,Rock Creek,3,W,no,yes,9,5,33,1715,Rock Creek3
North,Rock Creek,4,C,no,no,7,9,31,825,Rock Creek4
North,Rock Creek,4,P,yes,no,13,10,31,2161,Rock Creek4
North,Rock Creek,4,PW,yes,yes,8,4,12,694,Rock Creek4
North,Rock Creek,4,W,no,yes,5,5,11,1001,Rock Creek4
North,Rock Creek,5,C,no,no,7,19,62,1147,Rock Creek5
North,Rock Creek,5,P,yes,no,7,0,10,722,Rock Creek5
North,Rock Creek,5,PW,yes,yes,8,1,9,1035,Rock Creek5
North,Rock Creek,5,W,no,yes,11,0,8,918,Rock Creek5
North,Rock Creek,6,C,no,no,3,0,4,289,Rock Creek6
North,Rock Creek,6,P,yes,no,4,2,5,252,Rock Creek6
North,Rock Creek,6,PW,yes,yes,4,0,0,240,Rock Creek6
North,Rock Creek,6,W,no,yes,3,4,8,1097,Rock Creek6
Southwest,Highway 26,1,C,no,no,12,0,3,895,Highway 261
Southwest,Highway 26,1,P,yes,no,5,0,0,64,Highway 261
Southwest,Highway 26,1,PW,yes,yes,9,1,1,128,Highway 261
Southwest,Highway 26,1,W,no,yes,2,0,0,35,Highway 261
Southwest,Highway 26,2,C,no,no,6,3,9,162,Highway 262
Southwest,Highway 26,2,P,yes,no,7,3,7,30,Highway 262
Southwest,Highway 26,2,PW,yes,yes,6,4,9,110,Highway 262
Southwest,Highway 26,2,W,no,yes,5,10,20,172,Highway 262
Southwest,Highway 26,3,C,no,no,5,1,5,217,Highway 263
Southwest,Highway 26,3,P,yes,no,4,2,5,63,Highway 263
Southwest,Highway 26,3,PW,yes,yes,4,4,5,90,Highway 263
Southwest,Highway 26,3,W,no,yes,7,1,3,196,Highway 263
Southwest,Highway 26,4,C,no,no,5,2,9,108,Highway 264
Southwest,Highway 26,4,P,yes,no,9,1,6,45,Highway 264
Southwest,Highway 26,4,PW,yes,yes,6,0,0,60,Highway 264
Southwest,Highway 26,4,W,no,yes,5,3,9,330,Highway 264
Southwest,Highway 26,5,C,no,no,4,1,1,92,Highway 265
Southwest,Highway 26,5,P,yes,no,8,3,4,90,Highway 265
Southwest,Highway 26,5,PW,yes,yes,3,0,3,72,Highway 265
Southwest,Highway 26,5,W,no,yes,7,2,5,325,Highway 265
Southwest,Highway 26,6,C,no,no,7,2,12,628,Highway 266
Southwest,Highway 26,6,P,yes,no,9,1,8,21,Highway 266
Southwest,Highway 26,6,PW,yes,yes,6,2,4,62,Highway 266
Southwest,Highway 26,6,W,no,yes,8,4,8,680,Highway 266
Southwest,Highway 26,7,C,no,no,9,5,11,190,Highway 267
Southwest,Highway 26,7,P,yes,no,5,0,7,123,Highway 267
Southwest,Highway 26,7,PW,yes,yes,5,2,14,220,Highway 267
Southwest,Highway 26,7,W,no,yes,4,13,17,288,Highway 267
Southwest,Leslie Gulch,1,C,no,no,8,1,1,145,Leslie Gulch1
Southwest,Leslie Gulch,1,P,yes,no,7,1,2,18,Leslie Gulch1
Southwest,Leslie Gulch,1,PW,yes,yes,10,0,2,12,Leslie Gulch1
Southwest,Leslie Gulch,1,W,no,yes,7,0,3,70,Leslie Gulch1
Southwest,Leslie Gulch,2,C,no,no,12,4,12,110,Leslie Gulch2
Southwest,Leslie Gulch,2,P,yes,no,11,0,1,168,Leslie Gulch2
Southwest,Leslie Gulch,2,PW,yes,yes,15,3,9,198,Leslie Gulch2
Southwest,Leslie Gulch,2,W,no,yes,8,0,3,104,Leslie Gulch2
Southwest,Leslie Gulch,3,C,no,no,12,0,2,52,Leslie Gulch3
Southwest,Leslie Gulch,3,P,yes,no,10,3,3,84,Leslie Gulch3
Southwest,Leslie Gulch,3,PW,yes,yes,11,0,1,24,Leslie Gulch3
Southwest,Leslie Gulch,3,W,no,yes,9,0,4,195,Leslie Gulch3
Southwest,Leslie Gulch,4,C,no,no,7,0,2,48,Leslie Gulch4
Southwest,Leslie Gulch,4,P,yes,no,5,0,0,8,Leslie Gulch4
Southwest,Leslie Gulch,4,PW,yes,yes,11,1,3,112,Leslie Gulch4
Southwest,Leslie Gulch,4,W,no,yes,8,0,2,141,Leslie Gulch4
Southwest,Leslie Gulch,5,C,no,no,9,0,0,283,Leslie Gulch5
Southwest,Leslie Gulch,5,P,yes,no,11,1,5,118,Leslie Gulch5
Southwest,Leslie Gulch,5,PW,yes,yes,10,1,3,103,Leslie Gulch5
Southwest,Leslie Gulch,5,W,no,yes,13,2,8,280,Leslie Gulch5
Southwest,McKay Creek,1,C,no,no,9,4,19,747,McKay Creek1
Southwest,McKay Creek,1,P,yes,no,2,0,2,88,McKay Creek1
Southwest,McKay Creek,1,PW,yes,yes,6,3,7,45,McKay Creek1
Southwest,McKay Creek,1,W,no,yes,5,1,9,336,McKay Creek1
Southwest,McKay Creek,2,C,no,no,7,1,7,70,McKay Creek2
Southwest,McKay Creek,2,P,yes,no,5,4,9,4,McKay Creek2
Southwest,McKay Creek,2,PW,yes,yes,4,1,3,18,McKay Creek2
Southwest,McKay Creek,2,W,no,yes,6,5,12,93,McKay Creek2
Southwest,McKay Creek,3,C,no,no,14,1,5,1305,McKay Creek3
Southwest,McKay Creek,3,W,no,yes,7,1,4,257,McKay Creek3
Southwest,McKay Creek,4,C,no,no,2,0,2,279,McKay Creek4
Southwest,McKay Creek,5,C,no,no,5,2,7,293,McKay Creek5
Southwest,McKay Creek,5,PW,yes,yes,7,3,7,311,McKay Creek5
Southwest,McKay Creek,5,W,no,yes,8,1,2,209,McKay Creek5
Southwest,McKay Creek,6,C,no,no,7,0,2,252,McKay Creek6
Southwest,McKay Creek,6,PW,yes,yes,7,1,2,230,McKay Creek6
Southwest,McKay Creek,6,W,no,yes,8,1,2,558,McKay Creek6
Southwest,McKay Creek,7,C,no,no,11,1,5,792,McKay Creek7
Southwest,McKay Creek,7,PW,yes,yes,16,1,1,558,McKay Creek7
Southwest,McKay Creek,7,W,no,yes,18,0,2,1152,McKay Creek7
Southwest,McKay Creek,8,C,no,no,18,4,10,525,McKay Creek8
Southwest,McKay Creek,8,P,yes,no,9,1,5,138,McKay Creek8
Southwest,McKay Creek,8,PW,yes,yes,12,11,15,150,McKay Creek8
Southwest,McKay Creek,8,W,no,yes,5,2,6,240,McKay Creek8
