region,site,block,plot,water,net,fruit,seeds,exclude_seeds_estimated,blocksite,MAT_hist,MAP_hist,Tsum_exp,PPT_sm_exp
Center,Abel's Ridge,4,C,no,no,2,12,,Abel's Ridge 4,7.042,788.28,19.32499981,45.68999863
Center,Abel's Ridge,4,C,no,no,3,10,,Abel's Ridge 4,7.042,788.28,19.32499981,45.68999863
Center,Abel's Ridge,4,C,no,no,4,20,,Abel's Ridge 4,7.042,788.28,19.32499981,45.68999863
Center,Abel's Ridge,4,P,no,yes,1,2,,Abel's Ridge 4,7.042,788.28,19.32499981,45.68999863
Center,Abel's Ridge,4,P,no,yes,2,0,,Abel's Ridge 4,7.042,788.28,19.32499981,45.68999863
Center,Abel's Ridge,4,P,no,yes,3,0,,Abel's Ridge 4,7.042,788.28,19.32499981,45.68999863
Center,Abel's Ridge,4,P,no,yes,4,0,,Abel's Ridge 4,7.042,788.28,19.32499981,45.68999863
Center,Abel's Ridge,4,PW,yes,yes,1,4,,Abel's Ridge 4,7.042,788.28,19.32499981,45.68999863
Center,Abel's Ridge,4,W,yes,no,1,4,,Abel's Ridge 4,7.042,788.28,19.32499981,45.68999863
Center,Abel's Ridge,4,W,yes,no,2,4,,Abel's Ridge 4,7.042,788.28,19.32499981,45.68999863
Center,Abel's Ridge,5,C,no,no,1,15,,Abel's Ridge 5,7.042,788.28,19.32499981,45.68999863
Center,Abel's Ridge,5,C,no,no,2,25,,Abel's Ridge 5,7.042,788.28,19.32499981,45.68999863
Center,Abel's Ridge,5,C,no,no,3,17,,Abel's Ridge 5,7.042,788.28,19.32499981,45.68999863
Center,Abel's Ridge,5,C,no,no,4,25,,Abel's Ridge 5,7.042,788.28,19.32499981,45.68999863
Center,Abel's Ridge,5,P,no,yes,1,2,,Abel's Ridge 5,7.042,788.28,19.32499981,45.68999863
Center,Abel's Ridge,5,P,no,yes,2,0,,Abel's Ridge 5,7.042,788.28,19.32499981,45.68999863
Center,Abel's Ridge,5,PW,yes,yes,1,17,,Abel's Ridge 5,7.042,788.28,19.32499981,45.68999863
Center,Abel's Ridge,5,PW,yes,yes,2,9,,Abel's Ridge 5,7.042,788.28,19.32499981,45.68999863
Center,Abel's Ridge,5,PW,yes,yes,3,0,,Abel's Ridge 5,7.042,788.28,19.32499981,45.68999863
Center,Abel's Ridge,5,PW,yes,yes,4,2,,Abel's Ridge 5,7.042,788.28,19.32499981,45.68999863
Center,Abel's Ridge,5,W,yes,no,1,2,,Abel's Ridge 5,7.042,788.28,19.32499981,45.68999863
Center,Abel's Ridge,5,W,yes,no,2,20,,Abel's Ridge 5,7.042,788.28,19.32499981,45.68999863
Center,Abel's Ridge,5,W,yes,no,3,26,,Abel's Ridge 5,7.042,788.28,19.32499981,45.68999863
Center,Abel's Ridge,5,W,yes,no,4,16,,Abel's Ridge 5,7.042,788.28,19.32499981,45.68999863
Center,Abel's Ridge,6,C,no,no,1,42,,Abel's Ridge 6,7.042,788.28,19.32499981,45.68999863
Center,Abel's Ridge,6,C,no,no,2,15,,Abel's Ridge 6,7.042,788.28,19.32499981,45.68999863
Center,Abel's Ridge,6,C,no,no,3,45,,Abel's Ridge 6,7.042,788.28,19.32499981,45.68999863
Center,Abel's Ridge,6,C,no,no,4,20,,Abel's Ridge 6,7.042,788.28,19.32499981,45.68999863
Center,Abel's Ridge,6,P,no,yes,1,36,,Abel's Ridge 6,7.042,788.28,19.32499981,45.68999863
Center,Abel's Ridge,6,P,no,yes,2,0,,Abel's Ridge 6,7.042,788.28,19.32499981,45.68999863
Center,Abel's Ridge,6,P,no,yes,3,16,,Abel's Ridge 6,7.042,788.28,19.32499981,45.68999863
Center,Abel's Ridge,6,P,no,yes,4,10,,Abel's Ridge 6,7.042,788.28,19.32499981,45.68999863
Center,Abel's Ridge,6,PW,yes,yes,1,0,,Abel's Ridge 6,7.042,788.28,19.32499981,45.68999863
Center,Abel's Ridge,6,PW,yes,yes,2,32,,Abel's Ridge 6,7.042,788.28,19.32499981,45.68999863
Center,Abel's Ridge,6,PW,yes,yes,3,24,,Abel's Ridge 6,7.042,788.28,19.32499981,45.68999863
Center,Abel's Ridge,6,W,yes,no,1,10,,Abel's Ridge 6,7.042,788.28,19.32499981,45.68999863
Center,Abel's Ridge,6,W,yes,no,2,13,,Abel's Ridge 6,7.042,788.28,19.32499981,45.68999863
Center,Abel's Ridge,6,W,yes,no,3,29,,Abel's Ridge 6,7.042,788.28,19.32499981,45.68999863
Center,Abel's Ridge,6,W,yes,no,4,16,,Abel's Ridge 6,7.042,788.28,19.32499981,45.68999863
Center,Government Trail Ridge,1,C,no,no,1,26,,Government Trail Ridge 1,6.868,712.7,19.48999977,53.23000145
Center,Government Trail Ridge,1,C,no,no,2,31,,Government Trail Ridge 1,6.868,712.7,19.48999977,53.23000145
Center,Government Trail Ridge,1,C,no,no,3,45,,Government Trail Ridge 1,6.868,712.7,19.48999977,53.23000145
Center,Government Trail Ridge,1,C,no,no,4,20,,Government Trail Ridge 1,6.868,712.7,19.48999977,53.23000145
Center,Government Trail Ridge,1,P,no,yes,1,22,,Government Trail Ridge 1,6.868,712.7,19.48999977,53.23000145
Center,Government Trail Ridge,1,P,no,yes,2,1,,Government Trail Ridge 1,6.868,712.7,19.48999977,53.23000145
Center,Government Trail Ridge,1,P,no,yes,3,1,,Government Trail Ridge 1,6.868,712.7,19.48999977,53.23000145
Center,Government Trail Ridge,1,P,no,yes,4,1,,Government Trail Ridge 1,6.868,712.7,19.48999977,53.23000145
Center,Government Trail Ridge,1,PW,yes,yes,1,0,,Government Trail Ridge 1,6.868,712.7,19.48999977,53.23000145
Center,Government Trail Ridge,1,PW,yes,yes,2,0,,Government Trail Ridge 1,6.868,712.7,19.48999977,53.23000145
Center,Government Trail Ridge,1,PW,yes,yes,3,2,,Government Trail Ridge 1,6.868,712.7,19.48999977,53.23000145
Center,Government Trail Ridge,1,PW,yes,yes,4,1,,Government Trail Ridge 1,6.868,712.7,19.48999977,53.23000145
Center,Government Trail Ridge,1,W,yes,no,1,23,,Government Trail Ridge 1,6.868,712.7,19.48999977,53.23000145
Center,Government Trail Ridge,1,W,yes,no,2,24,,Government Trail Ridge 1,6.868,712.7,19.48999977,53.23000145
Center,Government Trail Ridge,1,W,yes,no,3,20,,Government Trail Ridge 1,6.868,712.7,19.48999977,53.23000145
Center,Government Trail Ridge,1,W,yes,no,4,8,,Government Trail Ridge 1,6.868,712.7,19.48999977,53.23000145
Center,Government Trail Ridge,2,C,no,no,1,17,,Government Trail Ridge 2,6.868,712.7,19.48999977,53.23000145
Center,Government Trail Ridge,2,C,no,no,2,12,,Government Trail Ridge 2,6.868,712.7,19.48999977,53.23000145
Center,Government Trail Ridge,2,C,no,no,3,14,,Government Trail Ridge 2,6.868,712.7,19.48999977,53.23000145
Center,Government Trail Ridge,2,C,no,no,4,10,,Government Trail Ridge 2,6.868,712.7,19.48999977,53.23000145
Center,Government Trail Ridge,2,P,no,yes,1,32,,Government Trail Ridge 2,6.868,712.7,19.48999977,53.23000145
Center,Government Trail Ridge,2,P,no,yes,2,8,,Government Trail Ridge 2,6.868,712.7,19.48999977,53.23000145
Center,Government Trail Ridge,2,P,no,yes,3,3,,Government Trail Ridge 2,6.868,712.7,19.48999977,53.23000145
Center,Government Trail Ridge,2,W,yes,no,1,12,,Government Trail Ridge 2,6.868,712.7,19.48999977,53.23000145
Center,Government Trail Ridge,2,W,yes,no,2,32,,Government Trail Ridge 2,6.868,712.7,19.48999977,53.23000145
Center,Government Trail Ridge,2,W,yes,no,3,6,,Government Trail Ridge 2,6.868,712.7,19.48999977,53.23000145
Center,Government Trail Ridge,2,W,yes,no,4,27,,Government Trail Ridge 2,6.868,712.7,19.48999977,53.23000145
Center,Government Trail Ridge,3,C,no,no,1,16,,Government Trail Ridge 3,6.868,712.7,19.48999977,53.23000145
Center,Government Trail Ridge,3,C,no,no,2,22,,Government Trail Ridge 3,6.868,712.7,19.48999977,53.23000145
Center,Government Trail Ridge,3,C,no,no,3,9,,Government Trail Ridge 3,6.868,712.7,19.48999977,53.23000145
Center,Government Trail Ridge,3,C,no,no,4,27,,Government Trail Ridge 3,6.868,712.7,19.48999977,53.23000145
Center,Government Trail Ridge,3,W,yes,no,1,30,,Government Trail Ridge 3,6.868,712.7,19.48999977,53.23000145
Center,Government Trail Ridge,3,W,yes,no,2,9,,Government Trail Ridge 3,6.868,712.7,19.48999977,53.23000145
Center,Government Trail Ridge,3,W,yes,no,3,9,,Government Trail Ridge 3,6.868,712.7,19.48999977,53.23000145
Center,Government Trail Ridge,3,W,yes,no,4,34,,Government Trail Ridge 3,6.868,712.7,19.48999977,53.23000145
Center,Government Trail Ridge,4,C,no,no,1,37,,Government Trail Ridge 4,6.868,712.7,19.48999977,53.23000145
Center,Government Trail Ridge,4,C,no,no,2,3,,Government Trail Ridge 4,6.868,712.7,19.48999977,53.23000145
Center,Government Trail Ridge,4,C,no,no,3,36,,Government Trail Ridge 4,6.868,712.7,19.48999977,53.23000145
Center,Government Trail Ridge,4,C,no,no,4,25,,Government Trail Ridge 4,6.868,712.7,19.48999977,53.23000145
Center,Government Trail Ridge,4,P,no,yes,1,2,,Government Trail Ridge 4,6.868,712.7,19.48999977,53.23000145
Center,Government Trail Ridge,4,P,no,yes,2,3,,Government Trail Ridge 4,6.868,712.7,19.48999977,53.23000145
Center,Government Trail Ridge,4,P,no,yes,3,5,,Government Trail Ridge 4,6.868,712.7,19.48999977,53.23000145
Center,Government Trail Ridge,4,P,no,yes,4,2,,Government Trail Ridge 4,6.868,712.7,19.48999977,53.23000145
Center,Government Trail Ridge,4,PW,yes,yes,1,3,,Government Trail Ridge 4,6.868,712.7,19.48999977,53.23000145
Center,Government Trail Ridge,4,PW,yes,yes,2,2,,Government Trail Ridge 4,6.868,712.7,19.48999977,53.23000145
Center,Government Trail Ridge,4,PW,yes,yes,3,0,,Government Trail Ridge 4,6.868,712.7,19.48999977,53.23000145
Center,Government Trail Ridge,4,PW,yes,yes,4,18,,Government Trail Ridge 4,6.868,712.7,19.48999977,53.23000145
Center,Government Trail Ridge,4,W,yes,no,1,18,,Government Trail Ridge 4,6.868,712.7,19.48999977,53.23000145
Center,Government Trail Ridge,4,W,yes,no,2,18,,Government Trail Ridge 4,6.868,712.7,19.48999977,53.23000145
Center,Government Trail Ridge,4,W,yes,no,3,24,,Government Trail Ridge 4,6.868,712.7,19.48999977,53.23000145
Center,Government Trail Ridge,4,W,yes,no,4,12,,Government Trail Ridge 4,6.868,712.7,19.48999977,53.23000145
Center,Government Trail Ridge,5,C,no,no,1,34,,Government Trail Ridge 5,6.868,712.7,19.48999977,53.23000145
Center,Government Trail Ridge,5,C,no,no,2,16,,Government Trail Ridge 5,6.868,712.7,19.48999977,53.23000145
Center,Government Trail Ridge,5,C,no,no,3,20,,Government Trail Ridge 5,6.868,712.7,19.48999977,53.23000145
Center,Government Trail Ridge,5,C,no,no,4,22,,Government Trail Ridge 5,6.868,712.7,19.48999977,53.23000145
Center,Government Trail Ridge,5,P,no,yes,1,2,,Government Trail Ridge 5,6.868,712.7,19.48999977,53.23000145
Center,Government Trail Ridge,5,P,no,yes,2,15,,Government Trail Ridge 5,6.868,712.7,19.48999977,53.23000145
Center,Government Trail Ridge,5,P,no,yes,3,2,,Government Trail Ridge 5,6.868,712.7,19.48999977,53.23000145
Center,Government Trail Ridge,5,P,no,yes,4,0,,Government Trail Ridge 5,6.868,712.7,19.48999977,53.23000145
Center,Government Trail Ridge,5,PW,yes,yes,1,3,,Government Trail Ridge 5,6.868,712.7,19.48999977,53.23000145
Center,Government Trail Ridge,5,PW,yes,yes,2,9,,Government Trail Ridge 5,6.868,712.7,19.48999977,53.23000145
Center,Government Trail Ridge,5,PW,yes,yes,3,10,,Government Trail Ridge 5,6.868,712.7,19.48999977,53.23000145
Center,Government Trail Ridge,5,PW,yes,yes,4,12,,Government Trail Ridge 5,6.868,712.7,19.48999977,53.23000145
Center,Government Trail Ridge,5,W,yes,no,1,11,,Government Trail Ridge 5,6.868,712.7,19.48999977,53.23000145
Center,Government Trail Ridge,5,W,yes,no,2,23,,Government Trail Ridge 5,6.868,712.7,19.48999977,53.23000145
Center,Government Trail Ridge,5,W,yes,no,3,6,,Government Trail Ridge 5,6.868,712.7,19.48999977,53.23000145
Center,Government Trail Ridge,6,C,no,no,1,9,,Government Trail Ridge 6,6.868,712.7,19.48999977,53.23000145
Center,Government Trail Ridge,6,C,no,no,2,28,,Government Trail Ridge 6,6.868,712.7,19.48999977,53.23000145
Center,Government Trail Ridge,6,C,no,no,3,24,,Government Trail Ridge 6,6.868,712.7,19.48999977,53.23000145
Center,Government Trail Ridge,6,C,no,no,4,25,,Government Trail Ridge 6,6.868,712.7,19.48999977,53.23000145
Center,Government Trail Ridge,6,P,no,yes,1,15,,Government Trail Ridge 6,6.868,712.7,19.48999977,53.23000145
Center,Government Trail Ridge,6,P,no,yes,2,1,,Government Trail Ridge 6,6.868,712.7,19.48999977,53.23000145
Center,Government Trail Ridge,6,P,no,yes,3,12,,Government Trail Ridge 6,6.868,712.7,19.48999977,53.23000145
Center,Government Trail Ridge,6,P,no,yes,4,17,,Government Trail Ridge 6,6.868,712.7,19.48999977,53.23000145
Center,Government Trail Ridge,6,PW,yes,yes,1,21,,Government Trail Ridge 6,6.868,712.7,19.48999977,53.23000145
Center,Government Trail Ridge,6,PW,yes,yes,2,17,,Government Trail Ridge 6,6.868,712.7,19.48999977,53.23000145
Center,Government Trail Ridge,6,PW,yes,yes,3,9,,Government Trail Ridge 6,6.868,712.7,19.48999977,53.23000145
Center,Government Trail Ridge,6,PW,yes,yes,4,26,,Government Trail Ridge 6,6.868,712.7,19.48999977,53.23000145
Center,Government Trail Ridge,6,W,yes,no,1,34,,Government Trail Ridge 6,6.868,712.7,19.48999977,53.23000145
Center,Government Trail Ridge,6,W,yes,no,2,22,,Government Trail Ridge 6,6.868,712.7,19.48999977,53.23000145
Center,Government Trail Ridge,6,W,yes,no,3,34,,Government Trail Ridge 6,6.868,712.7,19.48999977,53.23000145
Center,Tucannon,1,C,no,no,1,13,,Tucannon 1,8.894,1041.48,18.96000004,34.29999924
Center,Tucannon,1,C,no,no,2,27,,Tucannon 1,8.894,1041.48,18.96000004,34.29999924
Center,Tucannon,1,C,no,no,3,24,,Tucannon 1,8.894,1041.48,18.96000004,34.29999924
Center,Tucannon,1,C,no,no,4,15,,Tucannon 1,8.894,1041.48,18.96000004,34.29999924
Center,Tucannon,1,P,no,yes,0,6,yes,Tucannon 1,8.894,1041.48,18.96000004,34.29999924
Center,Tucannon,1,PW,yes,yes,1,7,,Tucannon 1,8.894,1041.48,18.96000004,34.29999924
Center,Tucannon,1,PW,yes,yes,2,7,,Tucannon 1,8.894,1041.48,18.96000004,34.29999924
Center,Tucannon,1,PW,yes,yes,3,0,,Tucannon 1,8.894,1041.48,18.96000004,34.29999924
Center,Tucannon,1,PW,yes,yes,4,1,,Tucannon 1,8.894,1041.48,18.96000004,34.29999924
Center,Tucannon,1,W,yes,no,1,47,,Tucannon 1,8.894,1041.48,18.96000004,34.29999924
Center,Tucannon,1,W,yes,no,2,30,,Tucannon 1,8.894,1041.48,18.96000004,34.29999924
Center,Tucannon,1,W,yes,no,3,17,,Tucannon 1,8.894,1041.48,18.96000004,34.29999924
Center,Tucannon,1,W,yes,no,4,26,,Tucannon 1,8.894,1041.48,18.96000004,34.29999924
Center,Tucannon,2,C,no,no,1,44,,Tucannon 2,8.894,1041.48,18.96000004,34.29999924
Center,Tucannon,2,C,no,no,2,32,,Tucannon 2,8.894,1041.48,18.96000004,34.29999924
Center,Tucannon,2,C,no,no,3,4,,Tucannon 2,8.894,1041.48,18.96000004,34.29999924
Center,Tucannon,2,C,no,no,4,18,,Tucannon 2,8.894,1041.48,18.96000004,34.29999924
Center,Tucannon,2,P,no,yes,1,9,,Tucannon 2,8.894,1041.48,18.96000004,34.29999924
Center,Tucannon,2,P,no,yes,2,15,,Tucannon 2,8.894,1041.48,18.96000004,34.29999924
Center,Tucannon,2,P,no,yes,3,0,,Tucannon 2,8.894,1041.48,18.96000004,34.29999924
Center,Tucannon,2,P,no,yes,4,10,,Tucannon 2,8.894,1041.48,18.96000004,34.29999924
Center,Tucannon,2,PW,yes,yes,1,27,,Tucannon 2,8.894,1041.48,18.96000004,34.29999924
Center,Tucannon,2,PW,yes,yes,2,0,,Tucannon 2,8.894,1041.48,18.96000004,34.29999924
Center,Tucannon,2,PW,yes,yes,3,0,,Tucannon 2,8.894,1041.48,18.96000004,34.29999924
Center,Tucannon,2,PW,yes,yes,4,16,,Tucannon 2,8.894,1041.48,18.96000004,34.29999924
Center,Tucannon,2,W,yes,no,1,31,,Tucannon 2,8.894,1041.48,18.96000004,34.29999924
Center,Tucannon,2,W,yes,no,2,8,,Tucannon 2,8.894,1041.48,18.96000004,34.29999924
Center,Tucannon,2,W,yes,no,3,23,,Tucannon 2,8.894,1041.48,18.96000004,34.29999924
Center,Tucannon,2,W,yes,no,4,59,,Tucannon 2,8.894,1041.48,18.96000004,34.29999924
Center,Tucannon,3,C,no,no,1,34,,Tucannon 3,8.894,1041.48,18.96000004,34.29999924
Center,Tucannon,3,C,no,no,2,58,,Tucannon 3,8.894,1041.48,18.96000004,34.29999924
Center,Tucannon,3,C,no,no,3,26,,Tucannon 3,8.894,1041.48,18.96000004,34.29999924
Center,Tucannon,3,C,no,no,4,22,,Tucannon 3,8.894,1041.48,18.96000004,34.29999924
Center,Tucannon,3,P,no,yes,1,0,,Tucannon 3,8.894,1041.48,18.96000004,34.29999924
Center,Tucannon,3,P,no,yes,2,3,,Tucannon 3,8.894,1041.48,18.96000004,34.29999924
Center,Tucannon,3,P,no,yes,3,0,,Tucannon 3,8.894,1041.48,18.96000004,34.29999924
Center,Tucannon,3,P,no,yes,4,1,,Tucannon 3,8.894,1041.48,18.96000004,34.29999924
Center,Tucannon,3,PW,yes,yes,1,0,,Tucannon 3,8.894,1041.48,18.96000004,34.29999924
Center,Tucannon,3,PW,yes,yes,2,8,,Tucannon 3,8.894,1041.48,18.96000004,34.29999924
Center,Tucannon,3,PW,yes,yes,3,14,,Tucannon 3,8.894,1041.48,18.96000004,34.29999924
Center,Tucannon,3,PW,yes,yes,4,7,,Tucannon 3,8.894,1041.48,18.96000004,34.29999924
Center,Tucannon,3,W,yes,no,1,25,,Tucannon 3,8.894,1041.48,18.96000004,34.29999924
Center,Tucannon,3,W,yes,no,2,9,,Tucannon 3,8.894,1041.48,18.96000004,34.29999924
Center,Tucannon,3,W,yes,no,3,31,,Tucannon 3,8.894,1041.48,18.96000004,34.29999924
Center,Tucannon,3,W,yes,no,4,0,,Tucannon 3,8.894,1041.48,18.96000004,34.29999924
Center,Tucannon,4,C,no,no,1,41,,Tucannon 4,8.894,1041.48,18.96000004,34.29999924
Center,Tucannon,4,C,no,no,2,5,,Tucannon 4,8.894,1041.48,18.96000004,34.29999924
Center,Tucannon,4,C,no,no,3,4,,Tucannon 4,8.894,1041.48,18.96000004,34.29999924
Center,Tucannon,4,C,no,no,4,22,,Tucannon 4,8.894,1041.48,18.96000004,34.29999924
Center,Tucannon,4,P,no,yes,1,0,,Tucannon 4,8.894,1041.48,18.96000004,34.29999924
Center,Tucannon,4,P,no,yes,2,8,,Tucannon 4,8.894,1041.48,18.96000004,34.29999924
Center,Tucannon,4,P,no,yes,3,0,,Tucannon 4,8.894,1041.48,18.96000004,34.29999924
Center,Tucannon,4,P,no,yes,4,5,,Tucannon 4,8.894,1041.48,18.96000004,34.29999924
Center,Tucannon,4,PW,yes,yes,1,11,,Tucannon 4,8.894,1041.48,18.96000004,34.29999924
Center,Tucannon,4,PW,yes,yes,2,2,,Tucannon 4,8.894,1041.48,18.96000004,34.29999924
Center,Tucannon,4,PW,yes,yes,3,32,,Tucannon 4,8.894,1041.48,18.96000004,34.29999924
Center,Tucannon,4,PW,yes,yes,4,0,,Tucannon 4,8.894,1041.48,18.96000004,34.29999924
Center,Tucannon,4,W,yes,no,1,19,,Tucannon 4,8.894,1041.48,18.96000004,34.29999924
Center,Tucannon,4,W,yes,no,2,45,,Tucannon 4,8.894,1041.48,18.96000004,34.29999924
Center,Tucannon,4,W,yes,no,3,14,,Tucannon 4,8.894,1041.48,18.96000004,34.29999924
Center,Tucannon,4,W,yes,no,4,27,,Tucannon 4,8.894,1041.48,18.96000004,34.29999924
Center,Tucannon,5,C,no,no,1,9,,Tucannon 5,8.894,1041.48,18.96000004,34.29999924
Center,Tucannon,5,C,no,no,2,14,,Tucannon 5,8.894,1041.48,18.96000004,34.29999924
Center,Tucannon,5,C,no,no,3,46,,Tucannon 5,8.894,1041.48,18.96000004,34.29999924
Center,Tucannon,5,C,no,no,4,55,,Tucannon 5,8.894,1041.48,18.96000004,34.29999924
Center,Tucannon,5,P,no,yes,1,0,,Tucannon 5,8.894,1041.48,18.96000004,34.29999924
Center,Tucannon,5,P,no,yes,2,0,,Tucannon 5,8.894,1041.48,18.96000004,34.29999924
Center,Tucannon,5,P,no,yes,3,5,,Tucannon 5,8.894,1041.48,18.96000004,34.29999924
Center,Tucannon,5,P,no,yes,4,18,,Tucannon 5,8.894,1041.48,18.96000004,34.29999924
Center,Tucannon,5,PW,yes,yes,1,0,,Tucannon 5,8.894,1041.48,18.96000004,34.29999924
Center,Tucannon,5,PW,yes,yes,2,2,,Tucannon 5,8.894,1041.48,18.96000004,34.29999924
Center,Tucannon,5,PW,yes,yes,3,8,,Tucannon 5,8.894,1041.48,18.96000004,34.29999924
Center,Tucannon,5,PW,yes,yes,4,0,,Tucannon 5,8.894,1041.48,18.96000004,34.29999924
Center,Tucannon,5,W,yes,no,1,7,,Tucannon 5,8.894,1041.48,18.96000004,34.29999924
Center,Tucannon,5,W,yes,no,2,11,,Tucannon 5,8.894,1041.48,18.96000004,34.29999924
Center,Tucannon,5,W,yes,no,3,38,,Tucannon 5,8.894,1041.48,18.96000004,34.29999924
Center,Tucannon,5,W,yes,no,4,15,,Tucannon 5,8.894,1041.48,18.96000004,34.29999924
Center,Tucannon,6,C,no,no,1,41,,Tucannon 6,8.894,1041.48,18.96000004,34.29999924
Center,Tucannon,6,C,no,no,2,12,,Tucannon 6,8.894,1041.48,18.96000004,34.29999924
Center,Tucannon,6,C,no,no,3,54,,Tucannon 6,8.894,1041.48,18.96000004,34.29999924
Center,Tucannon,6,C,no,no,4,54,,Tucannon 6,8.894,1041.48,18.96000004,34.29999924
Center,Tucannon,6,P,no,yes,1,11,,Tucannon 6,8.894,1041.48,18.96000004,34.29999924
Center,Tucannon,6,P,no,yes,2,17,,Tucannon 6,8.894,1041.48,18.96000004,34.29999924
Center,Tucannon,6,P,no,yes,3,12,,Tucannon 6,8.894,1041.48,18.96000004,34.29999924
Center,Tucannon,6,P,no,yes,4,0,,Tucannon 6,8.894,1041.48,18.96000004,34.29999924
Center,Tucannon,6,PW,yes,yes,1,5,,Tucannon 6,8.894,1041.48,18.96000004,34.29999924
Center,Tucannon,6,PW,yes,yes,2,16,,Tucannon 6,8.894,1041.48,18.96000004,34.29999924
Center,Tucannon,6,PW,yes,yes,3,0,,Tucannon 6,8.894,1041.48,18.96000004,34.29999924
Center,Tucannon,6,PW,yes,yes,4,42,,Tucannon 6,8.894,1041.48,18.96000004,34.29999924
